date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams
2017-12-28 22:00:00,151.781,151.641,151.976,151.483,151.972,151.801,152.006,151.505,193013,37099192.94702148,2.1698093394295874,65.54335478985023,0.2372752119901901,2.420249035458845,151.63923487443782,151.40462524836786,151.85381851851852,151.72113349673202,40.02412837502223,-6434163.0,151.2182,0.9100946372239646,0.9181618231840222,151.18877513014502,-62.50446307430841,25.678983984590147,1.4584775972381727,58.605640050831724,-62.50446307430841
2017-12-29 22:00:00,151.641,152.136,152.503,151.52,151.801,152.342,152.532,151.552,231953,37241204.98783781,2.1681284054866308,70.29056480574431,0.3515291933840178,3.117690000988839,151.8534416658799,151.52155035251087,152.08651666666665,151.9603070261438,51.98505569044343,-6202210.0,151.4454,1.0,0.9700315457413216,151.30409761713054,-61.731815650037824,27.04195022929497,1.5682612994517469,64.0701898977874,-61.731815650037824
2018-01-01 22:00:00,152.136,152.073,152.073,152.067,152.342,152.246,152.261,152.246,2,37241202.98783781,2.1202155649379697,59.109461966603135,0.35155465840246597,2.724391228276183,151.97864643307,151.61054318392968,152.30803333333333,152.15905629084966,65.89298892675275,-6202212.0,151.6511,0.9431616341030181,0.9510854237756609,151.3982878554175,-61.868921292791946,24.740093564798983,1.9787183867459872,62.44486054487638,-61.868921292791946
2018-01-02 22:00:00,152.073,152.556,152.73,151.857,152.246,152.67,152.754,151.884,221506,37419935.41542401,2.0610940084441722,58.11478525275358,0.4096444469410457,2.70818094102252,152.16513026061963,151.75576486922856,152.54714814814815,152.35403153594768,65.88624933332358,-5980706.0,151.85280000000003,1.0,0.9810538780343393,151.52545906987575,-61.263371370627986,28.436140478127847,2.157333653525039,66.60253928886723,-61.263371370627986
2018-01-03 22:00:00,152.556,152.001,152.82,151.746,152.67,152.122,152.841,151.763,245555,37337931.89037763,1.977584607599755,15.656178050652624,0.2795545102160403,1.4144139984881319,152.169084233591,151.81495162548202,152.53997592592592,152.4667956699346,54.04057449843126,-6226261.0,151.95090000000002,0.5530179445350948,0.8320598595460376,151.58511316288818,-62.04601608134933,30.40364887236951,2.5324284715865613,57.46630884638017,-62.04601608134933
2018-01-04 22:00:00,152.001,152.73,152.97,151.973,152.122,152.836,152.992,152.022,235416,37497626.455326095,1.9190261468397818,33.51482153659984,0.321004237542323,2.5067481912142378,152.36511910185956,151.9683402883448,152.62910000000002,152.6030126633987,53.29036703442246,-5990845.0,152.06310000000002,1.0,0.8510059815116983,151.71020184659938,-61.02629286336564,36.18573904428885,2.1188063351703326,64.51347992648036,-61.02629286336564
2018-01-05 22:00:00,152.73,153.292,153.633,152.678,152.836,153.474,153.722,152.773,240407,37612383.43214379,1.930123532155804,55.464480874317026,0.33555780626249737,4.655541350777415,152.68039775070596,152.1908402003383,153.04364259259262,152.82546968954247,52.735310651225696,-5750438.0,152.2377,1.0,0.8510059815116983,151.88658166193943,-60.11511161256232,35.8518254439265,1.585938246867105,69.52634728181017,-60.11511161256232
2018-01-07 22:00:00,153.292,153.388,153.418,153.217,153.474,153.509,153.538,153.309,240,37612562.64611759,1.9410111789402222,55.57372581084755,0.43300855382876424,4.406142095243038,152.9173453823194,152.4090521790095,153.4478740740741,153.07976552287582,65.19172503575746,-5750198.0,152.4442,1.0,1.0,152.0488234957455,-60.06512518030822,32.84611466559218,1.4747641409052923,69.78650019359876,-60.06512518030822
2018-01-08 22:00:00,153.388,153.394,153.666,152.863,153.509,153.517,153.687,152.883,206410,37731684.83517231,1.9185100610462007,48.66141732283452,0.45049393750834726,3.273547926796722,153.10956649110346,152.6004955601484,153.71521296296294,153.33723504901963,73.92127600138878,-5543788.0,152.6489,1.0,1.0,152.19564114617094,-60.0536997100787,30.40283859166496,1.515058981278763,69.85186501238954,-60.0536997100787
2018-01-09 22:00:00,153.394,152.498,153.567,151.93,153.517,152.595,153.591,151.954,276003,37671830.79424378,1.8982590549415814,20.224146714213433,0.3283947337204125,0.3285904949047784,153.0039118699359,152.6355009334488,153.43302777777774,153.42669370915033,63.653106569377286,-5819791.0,152.71120000000002,0.46270396270396696,0.8209013209013224,152.23557703155385,-61.370485154029616,33.24444648736393,1.6206091814311894,54.698287338205354,-61.370485154029616
